description,category,unit,qty_on_hand,unit_cost,total_cost,item_number,model_number,item_class,asset_recommended
AmGood Stainless Steel Dual Foot Pedal Valve Control for Faucet,Plumbing / Commercial Faucet Controls,EA,8,88.95,711.60,,,Inventory,No
Dexter AccuFlush Urinal Top Spud,Plumbing / Urinals,EA,3,164.32,492.96,,,Inventory,No
KOHLER 4636-RL-7 Cachet ReadyLatch Elongated Toilet Seat Black,Plumbing / Toilet Seats,EA,10,71.80,718.00,,4636-RL-7,Inventory,No
AUPREX 24 Inch Heavy Duty Carbon Steel Pipe Wrench,Hand Tools / Pipe Wrenches,EA,2,18.99,37.99,,,Asset,Yes
Extra Thick Toilet Wax Ring Kit with Flange and Bolts,Plumbing / Toilet Installation Kits,EA,5,7.18,35.90,,,Inventory,No
Fox Valley 12 Inch Easy Marker Pistol,Surveying / Marking Tools,EA,3,12.98,38.95,,,Asset,Yes
Fox Valley 18oz Marks All Green Fluorescent Marking Paint 12-Pack,Paint / Marking Paint,CASE,1,123.95,123.95,,,Inventory,No
Fox Valley 18oz Marks All Pink Fluorescent Marking Paint 12-Pack,Paint / Marking Paint,CASE,1,123.95,123.95,,,Inventory,No
Green Paint Markers 12 Pack Oil-Based Waterproof Quick Dry Permanent Paint Pen Set,Marking Tools / Paint Markers,PACK,2,7.22,14.43,,,Inventory,No
Pink Paint Markers 12 Pack Oil-Based Waterproof Quick Dry Permanent Paint Pen Set,Marking Tools / Paint Markers,PACK,2,7.22,14.43,,,Inventory,No
TEKTON 1-3/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,11.50,23.00,,18269,Asset,Yes
SUNEX TOOLS 542D 1 Inch Drive Deep 6 Point Impact Socket 1-5/16 Inch,Hand Tools / Impact Sockets,EA,1,26.99,26.99,,542D,Asset,Yes
Sunex 1-7/16 Inch 1D IMP 6PT Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,53.98,53.98,,,Asset,Yes
Sunex 538D 1 Inch Drive Deep 6 Point Impact Socket 1-3/16 Inch,Hand Tools / Impact Sockets,EA,1,40.56,40.56,,538D,Asset,Yes
TEKTON 1-7/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,21.97,43.94,,WCB23036,Asset,Yes
TEKTON 1-9/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,31.00,62.00,,WCB23040,Asset,Yes
TEKTON 1-3/8 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,17.11,34.21,,WCB23035,Asset,Yes
JET 3/4-Ton Lever Hoist 15 ft Lift,Rigging / Lever Hoists,EA,2,126.00,252.00,,JLP-075A-15,Asset,Yes
Strong Hand Tools PG114V Pipe Pliers with Large V-Pads 11 Inch,Welding Tools / Pipe Clamps & Pliers,EA,4,7.95,31.82,,PG114V,Asset,Yes
Stainless Steel Utility Sink 25 Inch Single Bowl Black,Plumbing / Utility Sinks,EA,2,209.99,419.98,,,Inventory,No
DEWALT Angle Grinder 4-1/2 Inch 11 Amp DWE402W,Power Tools / Grinders,EA,10,118.00,1180.00,,DWE402W,Asset,Yes
Metabo 6 Inch Angle Grinder W13-150 Quick 603633420,Power Tools / Grinders,EA,4,189.00,756.00,,603633420,Asset,Yes
BHA Metal and Stainless Steel Thin Cut Off Wheels 6 x .045 x 7/8 25 Pack,Abrasives / Cut-Off Wheels,PACK,20,32.26,645.20,,,Inventory,No
SEABEFORE Brass Round Bottle P-Trap Matte Black,Plumbing / Decorative P-Traps,EA,1,35.99,35.99,,,Inventory,No
EPSON 812 DURABrite Ultra Black Cartridge T812XXL120-S,Office Supplies / Printer Ink,EA,2,40.00,79.99,,T812XXL120-S,Inventory,No
Mr Clean All Purpose Cleaner Lavender 41oz,Janitorial / Cleaning Supplies,EA,6,0.99,5.94,,,Inventory,No
Drill America 3/16-60 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.31,12.31,,DEWCHAT3/16-60,Asset,Yes
Drill America 3/16-90 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.29,12.29,,,Asset,Yes
Drill America 5/16-82 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.67,12.67,,DEWCHAT5/16-82,Asset,Yes
Drill America 3/16-82 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,8.45,8.45,,DEWCHAT3/16-82,Asset,Yes
Drill America 1/4-120 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,13.72,13.72,,DEWCHAT1/4-120,Asset,Yes
BHA Surface Conditioning Quick Change Discs 2 Inch Blue Fine 25 Pack,Abrasives / Surface Conditioning Discs,PACK,2,12.74,25.48,,,Inventory,No
G1/2 Thread Stainless Steel Foot Pedal Faucet Wall Mounted,Plumbing / Commercial Faucet Controls,EA,2,19.83,39.66,,,Inventory,No
6 Inch Wet Drill Core Bit Concrete Hard Masonry,Cutting Tools / Core Bits,EA,1,111.86,111.86,,,Asset,Yes
4-1/2 Inch Wet Drill Core Bit Concrete Hard Masonry,Cutting Tools / Core Bits,EA,1,83.15,83.15,,,Asset,Yes
4 Inch Wet Drill Core Bit Concrete Hard Masonry,Cutting Tools / Core Bits,EA,1,79.19,79.19,,,Asset,Yes
Goldenwarm Oil Rubbed Bronze Door Knobs 6 Pack,Hardware / Door Knobs,PACK,1,56.99,56.99,,,Inventory,No
Wall Hung Toilet Gasket Z1200-NEOSEAL-GSKT-4,Plumbing / Toilet Gaskets,EA,3,12.99,38.97,,Z1200-NEOSEAL-GSKT-4,Inventory,No
BOSCH RH328VC SDS-plus Rotary Hammer,Power Tools / Rotary Hammers,EA,1,229.00,229.00,,RH328VC,Asset,Yes
Allsmartlife 4-Pack 1x4 LED Flat Panel Light,Electrical / Lighting,PACK,2,199.99,399.98,,,Inventory,No
JAKARDA Single Handle Bathroom Faucet Brushed Nickel,Plumbing / Faucets,EA,1,37.04,37.04,,,Inventory,No
KES Bathroom Sink Drain Matte Black S2008D-BK,Plumbing / Sink Drains,EA,1,18.99,18.99,,S2008D-BK,Inventory,No
Hammermill Premium Multipurpose Printer Paper 105810C,Office Supplies / Paper,CASE,1,51.40,51.40,,105810C,Inventory,No
Amazon Basics Hanging File Folders Letter Size Gray 25-Pack,Office Supplies / Filing,PACK,2,7.00,14.00,,,Inventory,No
HP 414X Black Toner Cartridge W2020X,Office Supplies / Toner,EA,2,235.89,471.78,,W2020X,Inventory,No
HP 414X Yellow Toner Cartridge W2022X,Office Supplies / Toner,EA,1,322.89,322.89,,W2022X,Inventory,No
HP 414X Cyan Toner Cartridge W2021X,Office Supplies / Toner,EA,1,322.89,322.89,,W2021X,Inventory,No
Fluidmaster B1T09 Toilet Connector 9 Inch,Plumbing / Toilet Supply Lines,EA,3,2.88,8.63,,B1T09,Inventory,No
DANCO All-in-One Toilet Installation Kit 10879X,Plumbing / Toilet Installation Kits,EA,3,5.12,15.36,,10879X,Inventory,No
Fernco FUS-2 Urinal Seal Black,Plumbing / Urinal Seals,EA,3,2.09,6.27,,FUS-2,Inventory,No
Wall-Mounted Sink Hook Bracket 1224196 Hook Kit,Plumbing / Sink Mounting Hardware,KIT,3,8.20,24.60,,1224196,Inventory,No
American Standard 6045101.002 Ultima Manual Urinal Flush Valve,Plumbing / Urinal Flush Valves,EA,2,112.49,224.98,,6045101.002,Inventory,No
Zurn UF2971 PVC Spigot Fit Urinal Flange Kit,Plumbing / Urinal Flange Kits,EA,3,8.06,24.19,,UF2971,Inventory,No
Hconcet RJSQ-001 Hall-Effect Throttle 0-5V,Electrical / Vehicle Controls,EA,1,61.65,61.65,,RJSQ-001,Asset,Yes
Forward Reverse Switch Toggle 24V-72V,Electrical / Vehicle Controls,EA,3,4.90,14.69,,,Inventory,No
Curtis Albright SW180 36V 400A Golf Cart Solenoid,Electrical / Vehicle Controls,EA,1,137.14,137.14,,SW180,Asset,Yes
Acc Control 30A DC Step Down Converter 24V/36V/48V to 12V,Electrical / Voltage Converters,EA,2,14.00,27.99,,,Inventory,No
XYZIL SW202 400A Reversing Solenoid Contactor 36V,Electrical / Vehicle Controls,EA,1,129.88,129.88,,SW202,Asset,Yes
DROK Coulometer DC 8-100V 100A Battery Monitor,Electrical / Battery Monitoring,EA,1,49.89,49.89,,,Asset,Yes
MEIJIA IP67 Waterproof Hard Compact Case Yellow,Storage / Protective Cases,EA,1,21.99,21.99,,,Asset,Yes
JOROY 3/8 High Flow Air Hose Fittings 10 Pieces,Pneumatics / Air Fittings,PACK,2,4.89,9.78,,,Inventory,No
EXPO Dry Erase Soft Pile Block Whiteboard Eraser,Office Supplies / Whiteboard Supplies,EA,2,1.49,2.98,,,Inventory,No
Sunex 564D 1 Inch Drive Deep 6 Point Impact Socket 2 Inch,Hand Tools / Impact Sockets,EA,2,35.12,70.24,,564D,Asset,Yes
Jetech 3/4 Drive 2 Inch Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,23.99,23.99,,,Asset,Yes
Jetech 3/4 Drive 1-5/16 Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,15.99,15.99,,,Asset,Yes
Sunex 560D 1 Inch Drive Deep 6 Point Impact Socket 1-7/8,Hand Tools / Impact Sockets,EA,1,32.63,32.63,,560D,Asset,Yes
Sunex 0448 3/4 Drive 1-1/2 Impact Socket,Hand Tools / Impact Sockets,EA,1,11.25,11.25,,0448,Asset,Yes
Jetech 3/4 Drive 1-13/16 Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,20.99,20.99,,,Asset,Yes
Jetech 3/4 Drive 1-5/8 Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,17.99,17.99,,,Asset,Yes
SUNEX TOOLS 454D 3/4 Drive Deep Impact Socket 1-11/16,Hand Tools / Impact Sockets,EA,1,21.10,21.10,,454D,Asset,Yes
Jetech 3/4 Drive 1-7/8 Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,22.59,22.59,,,Asset,Yes
S&F STEAD FAST Annular Cutter 11/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,28.99,28.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 15/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,32.99,32.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 7/8 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,35.99,35.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 13/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,31.99,31.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 9/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,30.99,30.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 7/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,25.99,25.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 1/2 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,27.99,27.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 3/4 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,32.99,32.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 1 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,39.99,39.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 1-1/16 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,39.99,39.99,,,Asset,Yes
S&F STEAD FAST Annular Cutter 5/8 x 1 DOC,Cutting Tools / Annular Cutters,EA,1,31.99,31.99,,,Asset,Yes
Sharpie Pocket Highlighters 36-Pack,Office Supplies / Markers & Highlighters,PACK,1,21.52,21.52,,,Inventory,No
Sharpie Permanent Markers Fine Point Black 40 Count,Office Supplies / Markers & Highlighters,PACK,1,24.95,24.95,,,Inventory,No
Aimoh #10 Security Self Seal Envelopes 100 Count,Office Supplies / Mailing Supplies,BOX,1,8.49,8.49,,,Inventory,No
Power Lift PL2x4 Green Polyester Round Sling,Rigging / Slings,EA,17,21.79,370.43,,PL2x4,Asset,Yes
Power Lift PL2x6 Green Polyester Round Sling,Rigging / Slings,EA,8,34.19,273.52,,PL2x6,Asset,Yes
Power Lift PL5x12 Red Polyester Round Sling,Rigging / Slings,EA,8,7.12,56.99,,PL5x12,Asset,Yes
AccuformNMC Safety Tags By-The-Roll TAR128,Safety / Tags & Barricades,ROLL,2,26.25,52.49,,TAR128,Inventory,No
REED Instruments R7950/12 Ultrasonic Couplant Gel,Inspection Supplies / Ultrasonic Testing,CASE,1,171.00,171.00,,R7950/12,Inventory,No
Oxy Acetylene Torch Quick Connect Fittings QDB10,Welding Supplies / Torch Fittings,SET,1,40.57,40.57,,QDB10,Asset,Yes
RX WELD Oxy-Fuel Quick Connect Torch To Hose Fittings,Welding Supplies / Torch Fittings,SET,4,39.99,159.96,,,Asset,Yes
SUNEX TOOLS 2504 1/2 Drive Impact Extension Set 4 Piece,Hand Tools / Impact Extensions,SET,2,38.51,77.02,,2504,Asset,Yes
John Tillman 1328S TIG Welders Gloves Small,Welding PPE / TIG Gloves,PAIR,12,1.30,15.64,,1328S,Inventory,No
GEARWRENCH 3/8 Drive Impact Adapter 3/8 F x 1/2 M,Hand Tools / Impact Adapters,EA,4,1.48,5.92,,84408,Asset,Yes
Broad Head Bull Pin Alignment Punch,Ironworker Tools / Bull Pins & Alignment Punches,EA,2,12.35,24.69,,,Asset,Yes
